此房满五年唯一，东南朝向，楼层好，视野开阔,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
佳兆业三期朝南三房 房子满五年 唯一 安静看花园 诚售,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
紫云庭电梯四房居家装修，满五年唯一红本，诚心出售。,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
满五唯一，精装修，拎包入住，业主诚 心出售！,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
70年产权，精装修保养好，坪山天虹，14+16号线双地铁,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
地铁口物业 看小区园景四房  满五年红本 交易税费少,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
上善梧桐苑，西南向三房，满五年唯一可免个税，楼层佳,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
南北通双阳台 户型方正 采光通风好 两梯三户,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
地铁口满5唯一次新花园社区精装修使用率高,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
前海荔湾站旁，次新盘，东南通透三居，高楼层诚心卖。,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
满五年唯一 中间楼层  户型方正 带大平台花园 仅有,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
7号线桃源村地铁口，俊峰丽舍安静看花园大三房,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
金地梅陇镇四期 正规大一房 满五年唯一 朝南向,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
此房为三房二厅二卫格局，装修保养好，产权清晰,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
海逸雅居 4室2厅 东南,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
满五年唯一/中高楼层/客厅正出阳台/南北通看花园/诚售,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
此房为三房二厅二卫格局，装修保养好，产权清晰,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
佳兆业中央广场三期 一楼底层复式 上下三层 毛坯出售,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
全天候都看房 ，高楼层采光好，视野无遮挡，满五唯一,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
业主已买诚意出售，满5自住，带入户花园，东南向3+1,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
此房满五唯一， 电梯两房，刚需上车盘， 看房方便,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
满五年，近地铁，位置安静，通风，日照充足，实用率高,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
顶楼复式5房!南北向带50平顶楼花园，满五年红本,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
精装实用居家复式五房  央企物业 地铁口物业 品质小区,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
宜居大两房 高层南看香港 精装,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
带顶楼花园  精装修 厅出阳台东向 税费低,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
一本证3+1房 满五年  装修保养好 看房方便,黄金大厦 ,2室2厅,48.61平米,东南,精装,中楼层(共31层),2011年建,板塔结合,318,"65,400"
