进击吧球球,http://f2.g.mi.com/download/AppStore/003a3396aad394da9b7c9b10e2d0137d2ead28f84/com.haxem.jjbqq.mi.apk,小米版进击吧球球为您提供进击吧球球安卓版最新下载，最全的进击吧球球游戏攻略，礼包激活码，欢迎来小米下载进击吧球球。【游戏介绍】进击吧球球是一款趣味解压的快乐弹球小游戏。游戏中分为红蓝两方正营，每次弹球碰撞到敌方的球球都会扣除敌方球球的一格血量，血量消失球球就会消失，场上所有敌方球球消失，即可获得胜利。
超凡敢死队,http://f2.g.mi.com/download/AppStore/0ed81ce71cbba471b900aaa6c006b3899ec677faf/com.cn.cfgsd.mi.apk,小米版超凡敢死队为您提供超凡敢死队安卓版最新下载，最全的超凡敢死队游戏攻略，礼包激活码，欢迎来小米下载超凡敢死队。【游戏介绍】《超凡敢死队》是一款类美妙且出色的剑术战斗闯关游戏，在游戏中你可以使用丰富多彩的宝剑模型，去进行战斗消灭敌人！在关卡中合理的利用地形，以及一些道具达到出其不意攻其不备，一举消灭敌人。御剑飞行，一刀999都不再是梦，游戏中可以轻易做到。
木头人大闯关,http://f2.g.mi.com/download/AppStore/01b23b78f67754e2d9161c9b1812714ef006383fb/com.cn.mtrdcg.mi.apk,小米版木头人大闯关为您提供木头人大闯关安卓版最新下载，最全的木头人大闯关游戏攻略，礼包激活码，欢迎来小米下载木头人大闯关。【游戏介绍】《木头人大闯关》是一款十分趣味的策略塔防游戏，在游戏中多样化的游戏剧情设定，游戏中玩家将带领木头人军团与其他玩家进行对战。游戏中玩家将不断提升自己军团的实力从而击败更强大的敌人，游戏玩法丰富精彩。更设有多样化的战斗挑战玩法模式设定，喜欢的小伙伴别错过这款策略动作游戏!
元尊-天蚕土豆监制,,"小米版元尊-天蚕土豆监制为您提供元尊-天蚕土豆监制安卓版最新下载，最全的元尊-天蚕土豆监制游戏攻略，礼包激活码，欢迎来小米下载元尊-天蚕土豆监制。【游戏介绍】闯天源九界，夺圣龙气运！《元尊手游》是以元尊小说原著为背景，天蚕土豆正版授权并担任首席世界观构架师，联合创作的一款新国创·东方玄幻手游。游戏中，你将成为一名天赋异禀的源师，邂逅夭夭、苏幼微、绿萝等心动心仪的少女，与周元、武瑶、赵牧神等气运高手并肩作战，开启一段热血少年的冒险之旅……

【正版元尊，经典还原】
《元尊手游》是由元尊小说作者天蚕土豆正版授权，并首次参与制作的一款游戏。土豆老师全程参与监修，确保忠于原著精神，力求还原经典剧情。周元拜师遇夭夭、力挽狂澜灭齐王、圣迹之地战武煌，桃花树下酿桃夭……更多经典名场面，激起你回忆的波澜！

【天源九界，创新探索】
天源分九界，浩瀚而神秘。土豆的主角不断成长与冒险，层层揭开这个瑰丽世界的面纱，而对未知领域的无尽探索，也是土豆作品的魅力所在。《元尊手游》力图将这种“探索感”贯彻进游戏，地图设计新颖，玩法独特创新，各种奇遇、惊喜、秘藏等待你去发掘。你，还不快去寻找属于自己的大机缘？！

【蟒雀吞龙，气运之争】
天地间有大气运，拥有者皆为天骄。气运，可助人，可镇国，可救世！借用元尊原作这个醒目的设定，气运之争将是《元尊手游》最期待的玩法之一。圣龙气运、天凰气运、赤雀气运、蛟蟒气运、饕之气运等等，可争夺，可修炼，可互噬！而你，将拥有哪一种大气运，让我们拭目以待！

【东方玄幻，顶级画风】
我们的美术组以元尊原作的独特设定为基础，从古代汉服的形制款式中汲取灵感，再借鉴现代国潮的设计理念，为《元尊手游》打造了一种新国创·东方玄幻的美术风格。原作中周元、夭夭、苏幼微、武煌、武瑶等经典角色，在游戏中也会以更惊艳的姿态与你邂逅。顶级画风的东方玄幻，等你来玩！"
纳萨力克之王,,"小米版纳萨力克之王为您提供纳萨力克之王安卓版最新下载，最全的纳萨力克之王游戏攻略，礼包激活码，欢迎来小米下载纳萨力克之王。【游戏介绍】异世界霸权动漫《OVERLORD》正版授权，首款策略卡牌手游《纳萨力克之王》正式登场！
在游戏中，你将化身无上至尊，与雅儿贝德、夏提雅等近百位配有专属技能的原作角色，共同探索未知的异世界。不拘于传统的卡牌玩法，创造性地通过阵容、流派的自由搭配策略，使得角色们摆脱了稀有度的限制，打造专属于纳萨力克的史诗对决，踏上征服异世界王者之路。
罪域的骨终为王，异世界的闯入者，开启这场反派为王的异世冒险，成为这个世界的支配者吧！

【深度还原，视觉盛宴】
角川官方正版授权，沉浸式的经典剧情体验，次世代的美术风格画面，高精度的人物建模，带来全方位的IP还原。从角色的动画终结技展示，到动漫CV的倾情演绎；从卡恩村的一草一木，到雅儿贝德的一瞥一笑，力求为大家呈现出身临其境的高品质OVERLORD IP手游巨作！

【百套阵容，玩法千变】
原作设定与游戏玩法相融合，再现每一位角色的技能招式与专属装备，超过百位的角色数量，更为大家提供了无限制的策略搭配空间。在这里，你将化身无上至尊，带领伙伴们一同探索未知的异世界，每一次不同的阵容搭配，都会带来不一样的畅快体验，让征服之路一切充满可能。

【沉浸剧情，爽感满格】
原作剧情经典复刻，多样化沉浸式内容体验，你将化身至尊，亲历与空气斗智斗勇、起手超位以示敬意、安兹乌尔恭没有败北等名场面，踏上征服世界的王者之路。更有角川原创的全新支线剧情，为至尊们带来不一样的游戏体验。此时此刻此地，所有的NPC都将以你为尊，你便是这罪域的骨王！

【地图探索，随机事件】
广袤多样的地形，纷乱复杂的势力，重现《OVERLORD》原作真实的异世界！在游戏中，至尊们不仅可以多地图随心探索，触发随机事件与原创剧情，更可以直面强大中立野怪，解锁神秘宝箱，让异世界探索充满乐趣！

纳萨力克大坟墓王座即将降临，一起恭迎无上至尊！"
新葫芦娃,http://f2.g.mi.com/download/AppStore/07e52e82fead04c66b919777b3f9e308739aa2cd1/com.xhlw.hardtime.mi.apk,"小米版新葫芦娃为您提供新葫芦娃安卓版最新下载，最全的新葫芦娃游戏攻略，礼包激活码，欢迎来小米下载新葫芦娃。【游戏介绍】上海美术电影制片厂正版授权，童年最经典动画改编的休闲手游，真正尊重原著的匠心之作。
《新葫芦娃》是一款创新类型的放置类手游，告别传统卡牌单调的战斗，既可轻松放置获取海量经验还可点击屏幕参与战斗，手速越快伤害越高，更能收服各路“小妖精”为己所用，建造仙洞守护资源，挑战无尽征途展现真正的技术！


【轻松放置】
创新式休闲玩法，轻松放置就能够突破重围，手动助力挑战最快手速，点击越快伤害越高，全新玩法体验不一样的葫芦娃世界。
【妖宠乱斗】
曾经动画中的蛤蟆精、蜈蚣精、蝎子大王、蛇精都可以被收服在自己阵营之中，给他们改过自新的机会，派他们去看守仙洞，保护珍贵的资源，同时还可以让他们组成队伍去挑战其他妖怪，谁的阵容更加强大就要看实力的比拼了！
【仙宠收集】
多样的法宝让你的除妖之旅更加轻松，还记得那句“如意如意，随我心意，快快显灵”么？在冒险的路途中寻找这些珍贵的宝物吧。
【英雄仙盟】
与其他好友结识，一起组成仙盟来相互帮助吧！与好友们拉帮结伙一起挑战仙盟BOSS,还可以争夺据点提高实力。

注：已参与过付费删测的小伙伴，请删除原有应用程序，重新下载最新客户端即可顺利参加本次测试。
同账号参与了两次删档付费测试，正式上线会累计计算付费金额进行返还的哦~"
球场风云-足球实况对战,http://f2.g.mi.com/download/AppStore/0de0419225c94413585a100d453df0ad6227b702c/com.crazysports.qcfy2020.mi.apk,"小米版球场风云-足球实况对战为您提供球场风云-足球实况对战安卓版最新下载，最全的球场风云-足球实况对战游戏攻略，礼包激活码，欢迎来小米下载球场风云-足球实况对战。【游戏介绍】《球场风云》，是FIFPro正版授权的足球电竞手游，游戏拥有包括梅西、C罗、姆巴佩等超过6万名国际职业球员IP授权，系列玩法以及主题活动，为玩家打造豪门足球盛宴！

◇FIFPro正版授权◇
超过6万名真实球员姓名及肖像权，覆盖英超、西甲、意甲、法甲、荷甲等欧洲顶级联赛大牌球星。

◇打造豪门，不断推新◇
游戏内持续推出传奇球员等活动，让玩家在指尖体验全球顶级足球赛事，收集最喜欢的国家队，打造自己的豪门阵容。

◇全球排位，实时对战◇
游戏拥有全球锦标赛排位升级玩法，在游戏中与全球玩家同场竞技，还可在游戏中挑战世界顶级豪门，获得丰厚奖励。

◇商海争霸，叱咤球坛◇
引入“国战”玩法，联盟会长可争夺三大足球协会会长位置，进行激烈的城市争夺战，限时抢占联盟冠军，登顶世界足球之巅。

◇剧情模式，一球成名◇
游戏原创剧情玩法，中国少年勇闯欧洲球坛剧情，让你沉浸式体验从业余到顶尖的蜕变，还可选择成长方向，打造征服世界的国际球星。"
趣味填色小画家,http://f2.g.mi.com/download/AppStore/09cd84ecc6094400a8441bb8ad61198006509d9d8/com.yyh.qwtsxhj.mi.apk,"小米版趣味填色小画家为您提供趣味填色小画家安卓版最新下载，最全的趣味填色小画家游戏攻略，礼包激活码，欢迎来小米下载趣味填色小画家。【游戏介绍】你喜欢美丽的公主、仙女和画画吗？那么这个趣味填色小画家非常适合您！您可以找到有吸引力和时尚的公主，用图案、闪光、贴纸上色。在这个趣味填色小画家中为可爱的女孩上色，同时注意每一个小细节——她们的发型、连衣裙、鞋子和配饰。用出彩的颜色装饰这些仙女、公主、赤壁和现代女孩，让她们看起来更漂亮。从不同的图案、设计中选择并准备您的杰作。
游戏特点：
1、5 本超过 100 个着色页的女孩书籍。
2、 许多画笔的惊人绘画。
3、 各种闪光颜色和图案。
4、你可以得到许多可爱的贴纸、文字和框架。
5、保存彩色照片并分享。"
寻光之旅,http://f2.g.mi.com/download/AppStore/00c5bdcd421c14b76aa6b7cab938db0faa8b6068b/com.sevendoc.shigzhe.mi.apk,"小米版寻光之旅为您提供寻光之旅安卓版最新下载，最全的寻光之旅游戏攻略，礼包激活码，欢迎来小米下载寻光之旅。【游戏介绍】凹凸世界全新手游《寻光之旅》正式上线，快来下载吧！

《寻光之旅》是一款以凹凸世界竞技大赛为世界观背景，动画级沉浸式剧情体验的策略卡牌养成手游。游戏中玩家将化身天使的分身，并以参赛者的身份参与到残酷的比赛之中，探寻和了解本届大赛中其他参赛者背后的故事。

参赛介绍：

▶丰富剧情体验，大赛补完！◀
精心打磨超高质量剧情，多角色剧情线并行叙事，以多视角的方式讲述凹凸大赛背后的故事！随机剧情分支，将导向百余种截然不同的参赛者命运终章，带来全方位的视听震撼。


▶动画级海量CG呈现，番剧式沉浸体验！◀
游戏内置大量动漫级过场剧情CG，以及丰富的动态插图，带来如同欣赏番剧般的高质量沉浸式剧情体验！ 


▶养成难度大幅简化，自由探索这个世界！◀
养成难度大幅度降低，简单易懂的伙伴养成玩法，与伙伴培养好感，为角色配置风格各异的时装搭配。请尽情战斗，自由地探索大赛所在的世界，来追寻所有参赛者都想要得到的答案吧！


▶趣味社交玩法，打造你的凹凸星球！◀
在休息区中解锁并装饰不同风格的星球，体验挖矿、种菜、钓鱼、养殖、烹饪等乐趣玩法，邀请或拜访其他玩家进行互动，感受赛场之外的轻松乐趣！"
造梦西游4,http://f2.g.mi.com/download/AppStore/06d67d47ea6a74e1090d1fd5636f1a716a3388ab9/org.cocos2dx.zmxy.mi.apk,小米版造梦西游4为您提供造梦西游4安卓版最新下载，最全的造梦西游4游戏攻略，礼包激活码，欢迎来小米下载造梦西游4。【游戏介绍】《造梦西游4》是一款横版格斗类手游。游戏以《西游记》为蓝本，讲述师徒4人历经九九八十一难，去往西天取经的故事。游戏继承《造梦西游》页游系列血统，为玩家创造极致的战斗体验！相比于造梦西游4网页版，手机版增加更多新颖的玩法。而与此同时，还在原有的基础上又开放出更多的BOSS、法宝以及坐骑。极限操作，无限连击，等你来战！
